ECG 1,ECG 2,ECG3
-0.26990599,-0.13196633,-0.0035959019
-0.45269394,-0.19064044,0.092561922
-0.50491906,-0.19064044,0.30624597
-0.46575022,-0.13196633,0.71224567
-0.34824368,-0.1172978,1.1609822
-0.29601855,-0.058623688,1.5776661
-0.41352509,-0.087960743,1.9195606
-0.4788065,-0.058623688,2.1973498
-0.41352509,-0.10262927,2.3469287
-0.26990599,5.0423064e-05,2.4430865
-0.28296227,0.088061589,2.4217181
-0.51797534,0.17607276,2.3469287
-0.7660447,0.1467357,2.2507709
-0.77910098,0.19074128,2.2400866
-0.64853816,0.17607276,2.2828235
-0.54408791,0.23474687,2.3148761
-0.54408791,0.32275803,2.4110339
-0.50491906,0.38143214,2.4217181
-0.46575022,0.36676362,2.4003497
-0.45269394,0.39610067,2.2187182
-0.40046881,0.49878037,2.1118762
-0.40046881,0.46944331,2.2294024
-0.51797534,0.4107692,2.4324023
-0.59631304,0.30808951,2.5926653
-0.59631304,0.23474687,2.4858233
-0.49186278,0.20540981,2.101192
-0.42658137,0.17607276,1.4494557
-0.40046881,0.16140423,0.70156147
-0.45269394,0.16140423,0.081877719
-0.57020047,0.073393062,-0.22796416
-0.53103163,0.10273012,-0.29206937
-0.43963765,0.073393062,-0.22796416
-0.46575022,5.0423064e-05,-0.30275358
-0.60936932,-0.014618105,-0.36685879
-0.73993214,-0.058623688,-0.43096401
-0.70076329,-0.10262927,-0.46301661
-0.67465073,-0.16130338,-0.48438502
-0.66159445,-0.23464602,-0.44164821
-0.72687586,-0.21997749,-0.43096401
-0.79215727,-0.24931455,-0.44164821
-0.79215727,-0.24931455,-0.48438502
-0.75298842,-0.32265719,-0.46301661
-0.67465073,-0.36666277,-0.49506922
-0.71381957,-0.29332013,-0.47370082
-0.81826983,-0.24931455,-0.49506922
-0.81826983,-0.21997749,-0.44164821
-0.92272008,-0.32265719,-0.44164821
-0.92272008,-0.32265719,-0.49506922
-0.93577637,-0.29332013,-0.47370082
-0.89660752,-0.29332013,-0.50575343
-0.88355124,-0.23464602,-0.49506922
-0.84438239,-0.26398308,-0.45233241
-0.83132611,-0.29332013,-0.46301661
-0.87049496,-0.2786516,-0.48438502
-0.89660752,-0.21997749,-0.50575343
-0.88355124,-0.21997749,-0.51643763
-0.97494521,-0.17597191,-0.50575343
-1.0793955,-0.16130338,-0.47370082
-1.105508,-0.23464602,-0.53780603
-1.0793955,-0.13196633,-0.55917444
-1.0663392,-0.073292216,-0.51643763
-1.0141141,0.014718951,-0.54849024
-0.96188893,0.11739864,-0.59122705
-0.93577637,0.27875245,-0.56985864
-0.87049496,0.61612859,-0.59122705
-0.83132611,1.1441956,-0.62327965
-0.94883265,1.8629534,-0.64464806
-0.92272008,2.4496946,-0.63396386
-0.84438239,2.8750819,-0.61259545
-0.79215727,3.1537839,-0.61259545
-0.72687586,3.4178174,-0.66601646
-0.58325675,3.5058285,-0.67670067
-0.4788065,3.4178174,-0.71943748
-0.4788065,3.1391154,-0.69806907
-0.58325675,2.9777615,-0.71943748
-0.58325675,2.8897504,-0.71943748
-0.37435624,2.9044189,-0.73012168
-0.25684971,3.0217671,-0.7942269
-0.24379342,3.0657727,-0.75149009
-0.1915683,3.1831209,-0.83696371
-0.1915683,2.9777615,-0.86901631
-0.17851201,2.7430651,-0.85833211
-0.15239945,2.6403854,-0.83696371
-0.1915683,2.8310763,-0.86901631
-0.23073714,3.2271265,-0.85833211
-0.16545573,3.3004692,-0.85833211
-0.10017432,2.933756,-0.90106892
-0.061005477,2.1856611,-0.91175313
-0.074061759,1.2468753,-0.90106892
0.017332214,0.51344889,-0.91175313
-0.074061759,0.044056006,-0.87970052
-0.11323061,-0.087960743,-0.86901631
-0.061005477,-0.17597191,-0.89038472
0.0042759323,-0.2786516,-0.90106892
-0.047949195,-0.36666277,-0.83696371
-0.12628689,-0.45467394,-0.7942269
-0.32213112,-0.48401099,-0.8262795
-0.34824368,-0.49867952,-0.83696371
-0.3351874,-0.5426851,-0.8262795
-0.16545573,-0.60135921,-0.77285849
-0.061005477,-0.55735363,-0.71943748
0.0042759323,-0.58669069,-0.67670067
-0.021836632,-0.57202216,-0.61259545
-0.11323061,-0.55735363,-0.54849024
-0.1915683,-0.61602774,-0.52712183
-0.20462458,-0.55735363,-0.48438502
-0.20462458,-0.58669069,-0.4095956
-0.25684971,-0.55735363,-0.34549039
-0.1915683,-0.6453648,-0.31343778
-0.021836632,-0.60135921,-0.33480618
0.043444778,-0.68937038,-0.27070097
-0.021836632,-0.63069627,-0.21727995
-0.13934317,-0.58669069,-0.14249054
-0.23073714,-0.57202216,-0.067701118
-0.29601855,-0.63069627,-0.099753726
-0.1915683,-0.6453648,-0.057016915
-0.11323061,-0.67470185,-0.13180633
-0.034892913,-0.66003332,-0.067701118
-0.0087803496,-0.63069627,-0.024964307
-0.087118041,-0.68937038,-0.014280105
-0.0087803496,-0.67470185,-0.067701118
-0.0087803496,-0.70403891,-0.046332712
0.043444778,-0.76271302,-0.03564851
-0.047949195,-0.77738155,-0.014280105
-0.13934317,-0.77738155,-0.024964307
-0.17851201,-0.77738155,-0.067701118
-0.16545573,-0.77738155,-0.046332712
-0.087118041,-0.86539271,-0.089069523
-0.0087803496,-0.83605566,-0.099753726
0.043444778,-0.83605566,-0.099753726
0.10872619,-0.83605566,-0.089069523
0.095669906,-0.92406682,-0.089069523
0.043444778,-0.86539271,-0.14249054
0.082613624,-0.92406682,-0.13180633
0.10872619,-0.9093983,-0.16385894
0.12178247,-0.93873535,-0.11043793
0.095669906,-0.93873535,-0.16385894
-0.021836632,-0.95340388,-0.18522735
0.05650106,-0.96807241,-0.20659575
0.05650106,-0.93873535,-0.20659575
0.017332214,-1.012078,-0.15317474
-0.0087803496,-1.012078,-0.12112213
0.0042759323,-1.0707521,-0.13180633
0.13483875,-1.0707521,-0.12112213
0.16095132,-1.0707521,-0.22796416
0.16095132,-1.1147577,-0.18522735
0.095669906,-1.0560836,-0.15317474
0.095669906,-1.1000892,-0.15317474
0.043444778,-1.1147577,-0.16385894
0.12178247,-1.1147577,-0.17454314
0.26540157,-1.1000892,-0.16385894
0.38290811,-1.1000892,-0.16385894
0.4612458,-1.1147577,-0.16385894
0.43513324,-1.1294262,-0.13180633
0.42207695,-1.1147577,-0.13180633
0.44818952,-1.1000892,-0.20659575
0.53958349,-1.0854206,-0.15317474
0.57875234,-1.0267465,-0.12112213
0.51347093,-1.012078,-0.14249054
0.44818952,-0.95340388,-0.13180633
0.33068298,-0.96807241,-0.12112213
0.38290811,-0.93873535,-0.13180633
0.43513324,-0.85072418,-0.099753726
0.36985183,-0.79205007,-0.067701118
0.30457042,-0.77738155,-0.089069523
0.25234529,-0.68937038,-0.089069523
0.3176267,-0.61602774,-0.12112213
0.36985183,-0.58669069,-0.067701118
0.35679554,-0.51334805,-0.067701118
0.38290811,-0.44000541,-0.046332712
0.3176267,-0.42533688,-0.03564851
0.26540157,-0.41066835,-0.014280105
0.16095132,-0.24931455,0.0070883007
0.22623273,-0.24931455,0.028456706
0.082613624,-0.21997749,0.060509314
-0.021836632,-0.24931455,0.071193516
-0.11323061,-0.19064044,0.11393033
-0.061005477,-0.23464602,0.11393033
0.043444778,-0.16130338,0.092561922
0.12178247,-0.13196633,0.15666714
0.12178247,-0.087960743,0.22077235
0.0042759323,-0.20530896,0.19940395
-0.087118041,-0.20530896,0.13529873
-0.16545573,-0.16130338,0.10324612
-0.16545573,-0.14663485,0.049825111
-0.087118041,-0.16130338,0.028456706
-0.047949195,-0.14663485,0.017772503
0.0042759323,-0.20530896,0.0070883007
0.030388496,-0.19064044,-0.03564851
-0.061005477,-0.20530896,-0.067701118
0.0042759323,-0.17597191,-0.07838532
0.069557342,-0.19064044,-0.07838532
-0.0087803496,-0.19064044,-0.03564851
0.10872619,-0.2786516,-0.099753726
0.10872619,-0.21997749,-0.13180633
0.12178247,-0.19064044,-0.20659575
0.095669906,-0.20530896,-0.18522735
0.10872619,-0.20530896,-0.27070097
0.069557342,-0.19064044,-0.26001676
-0.0087803496,-0.20530896,-0.28138517
0.069557342,-0.32265719,-0.26001676
0.20012016,-0.23464602,-0.27070097
0.30457042,-0.21997749,-0.31343778
0.48735836,-0.26398308,-0.28138517
0.72237144,-0.29332013,-0.28138517
1.0748911,-0.23464602,-0.32412198
1.4535232,-0.26398308,-0.31343778
1.9104931,-0.20530896,-0.28138517
2.3152378,-0.21997749,-0.24933256
2.6155323,-0.16130338,-0.22796416
2.7460951,-0.21997749,-0.23864836
2.8374891,-0.24931455,-0.29206937
2.7591514,-0.16130338,-0.28138517
2.6285886,-0.19064044,-0.29206937
2.4719132,-0.16130338,-0.28138517
2.3544067,-0.19064044,-0.28138517
2.4458007,-0.14663485,-0.28138517
2.5633072,-0.20530896,-0.33480618
2.6155323,-0.14663485,-0.31343778
2.5763635,-0.13196633,-0.30275358
2.4849695,-0.13196633,-0.28138517
2.3152378,-0.19064044,-0.18522735
1.9888308,-0.16130338,-0.16385894
1.9104931,-0.13196633,-0.089069523
2.093281,-0.087960743,0.081877719
2.4588569,-0.087960743,0.35966699
2.5371946,-0.029286632,0.84045611
2.3413504,-0.13196633,1.4601399
1.7799303,-0.073292216,2.0157184
1.0618348,-0.087960743,2.4003497
0.53958349,-0.10262927,2.6995074
0.33068298,-0.10262927,2.8597704
0.38290811,-0.13196633,2.891823
0.33068298,-0.073292216,2.838402
0.16095132,-0.029286632,2.7422442
0.017332214,-0.04395516,2.6888232
-0.20462458,-0.014618105,2.678139
-0.38741253,-0.014618105,2.7742968
-0.45269394,0.014718951,2.891823
-0.3351874,0.044056006,2.9345598
-0.26990599,0.073393062,2.945244
-0.20462458,0.16140423,2.8490862
-0.25684971,0.24941539,2.6995074
-0.28296227,0.23474687,2.5926653
-0.26990599,0.26408392,2.7636126
-0.20462458,0.30808951,2.945244
-0.16545573,0.32275803,3.0841387
-0.1915683,0.39610067,2.8277178
-0.20462458,0.45477478,2.2614551
-0.28296227,0.52811742,1.3960346
-0.23073714,0.55745448,0.45582481
-0.1915683,0.572123,-0.13180633
-0.16545573,0.60146006,-0.33480618
-0.21768086,0.64546564,-0.37754299
-0.26990599,0.51344889,-0.34549039
-0.28296227,0.45477478,-0.44164821
-0.23073714,0.33742656,-0.54849024
-0.17851201,0.4107692,-0.61259545
-0.21768086,0.4107692,-0.60191125
-0.30907483,0.38143214,-0.64464806
-0.3351874,0.29342098,-0.63396386
-0.30907483,0.29342098,-0.64464806
-0.28296227,0.33742656,-0.65533226
-0.34824368,0.30808951,-0.63396386
-0.42658137,0.27875245,-0.61259545
-0.43963765,0.11739864,-0.61259545
-0.49186278,0.073393062,-0.64464806
-0.43963765,5.0423064e-05,-0.67670067
-0.45269394,-0.073292216,-0.66601646
-0.42658137,-0.04395516,-0.67670067
-0.4788065,-0.058623688,-0.69806907
-0.55714419,-0.073292216,-0.66601646
-0.6224256,-0.087960743,-0.67670067
-0.59631304,-0.058623688,-0.67670067
-0.58325675,-0.04395516,-0.67670067
-0.55714419,5.0423064e-05,-0.71943748
-0.58325675,-0.014618105,-0.71943748
-0.51797534,5.0423064e-05,-0.66601646
-0.60936932,-0.058623688,-0.70875328
-0.71381957,-0.058623688,-0.70875328
-0.79215727,5.0423064e-05,-0.77285849
-0.70076329,-0.014618105,-0.73012168
-0.77910098,-0.014618105,-0.76217429
-0.79215727,0.029387478,-0.7942269
-0.75298842,0.014718951,-0.7942269
-0.64853816,0.029387478,-0.76217429
-0.64853816,0.058724534,-0.8155953
-0.67465073,0.044056006,-0.8262795
-0.77910098,0.029387478,-0.8049111
-0.9096638,0.088061589,-0.76217429
-0.97494521,0.10273012,-0.85833211
-1.0141141,0.1467357,-0.83696371
-0.97494521,0.22007834,-0.85833211
-0.89660752,0.35209509,-0.91175313
-0.88355124,0.52811742,-0.91175313
-0.93577637,0.85082503,-0.94380573
-0.92272008,1.4082291,-0.97585834
-0.98800149,2.0829814,-1.0185952
-0.94883265,2.7870707,-1.0079109
-0.83132611,3.3738118,-1.0292794
-0.73993214,3.740525,-1.0399636
-0.7660447,4.0779011,-1.0399636
-0.68770701,4.2539235,-1.0933846
-0.58325675,4.1659123,-1.0720162
-0.58325675,3.8872103,-1.0399636
-0.58325675,3.6085082,-1.1040688
-0.60936932,3.4471544,-1.1361214
-0.50491906,3.4031489,-1.1361214
-0.43963765,3.4764915,-1.1574898
-0.30907483,3.6085082,-1.1574898
-0.30907483,3.6525138,-1.168174
-0.25684971,3.5204971,-1.1788582
-0.24379342,3.3151377,-1.1895424
-0.26990599,3.1831209,-1.1895424
-0.24379342,3.3444747,-1.1468056
-0.21768086,3.6818509,-1.1574898
-0.074061759,3.7258565,-1.1040688
-0.061005477,3.4324859,-1.0827004
-0.074061759,2.684391,-1.0827004
-0.23073714,1.7309367,-0.98654254
-0.21768086,0.89483061,-0.94380573
-0.1915683,0.36676362,-0.93312153
-0.11323061,0.17607276,-0.92243733
-0.034892913,0.088061589,-0.89038472
-0.0087803496,0.014718951,-0.84764791
-0.061005477,-0.073292216,-0.8049111
-0.13934317,-0.1172978,-0.73012168
-0.16545573,-0.17597191,-0.62327965
-0.15239945,-0.21997749,-0.60191125
-0.087118041,-0.23464602,-0.53780603
-0.021836632,-0.17597191,-0.51643763
-0.034892913,-0.17597191,-0.44164821
-0.11323061,-0.20530896,-0.3882272
-0.047949195,-0.23464602,-0.34549039
-0.061005477,-0.20530896,-0.35617459
-0.0087803496,-0.20530896,-0.31343778
-0.021836632,-0.23464602,-0.27070097
-0.021836632,-0.19064044,-0.28138517
-0.10017432,-0.20530896,-0.28138517
-0.021836632,-0.24931455,-0.24933256
-0.087118041,-0.29332013,-0.29206937
-0.21768086,-0.24931455,-0.31343778
-0.24379342,-0.20530896,-0.26001676
-0.24379342,-0.20530896,-0.28138517
-0.20462458,-0.21997749,-0.20659575
-0.23073714,-0.24931455,-0.19591155
-0.17851201,-0.33732571,-0.19591155
-0.15239945,-0.32265719,-0.26001676
-0.13934317,-0.2786516,-0.26001676
-0.20462458,-0.32265719,-0.23864836
-0.15239945,-0.32265719,-0.20659575
-0.13934317,-0.36666277,-0.19591155
-0.10017432,-0.32265719,-0.14249054
-0.12628689,-0.30798866,-0.07838532
-0.17851201,-0.32265719,-0.089069523
-0.23073714,-0.33732571,-0.03564851
-0.24379342,-0.35199424,-0.046332712
-0.1915683,-0.35199424,-0.18522735
-0.1915683,-0.41066835,-0.43096401
-0.12628689,-0.41066835,-0.70875328
-0.11323061,-0.44000541,-0.91175313
-0.074061759,-0.44000541,-1.0827004
-0.034892913,-0.46934246,-1.3177528
-0.0087803496,-0.51334805,-1.5741737
0.017332214,-0.51334805,-1.8305946
-0.10017432,-0.5426851,-2.0335944
-0.16545573,-0.55735363,-2.2045416
-0.20462458,-0.55735363,-2.3327521
-0.17851201,-0.58669069,-2.5143835
-0.074061759,-0.60135921,-2.7708044
0.017332214,-0.63069627,-3.0485937
0.05650106,-0.61602774,-3.2622777
-0.021836632,-0.66003332,-3.4973302
-0.021836632,-0.66003332,-3.6148564
-0.12628689,-0.73337596,-3.7323826
-0.11323061,-0.68937038,-3.8819615
-0.034892913,-0.71870744,-3.9781193
0.043444778,-0.77738155,-3.9994877
0.12178247,-0.77738155,-3.8926457
0.13483875,-0.77738155,-3.753751
0.14789503,-0.82138713,-3.5721196
0.20012016,-0.82138713,-3.3584355
0.30457042,-0.77738155,-3.4118565
0.35679554,-0.79205007,-3.753751
0.42207695,-0.82138713,-4.3093296
0.36985183,-0.76271302,-4.7046451
0.38290811,-0.74804449,-4.8008029
0.39596439,-0.77738155,-4.6619082
0.40902067,-0.71870744,-4.4054874
0.4612458,-0.70403891,-4.2452243
0.50041465,-0.70403891,-4.0101719
0.4612458,-0.74804449,-3.70033
0.35679554,-0.63069627,-3.4759618
0.27845785,-0.58669069,-3.2409093
0.29151413,-0.49867952,-3.0806463
0.30457042,-0.45467394,-2.9417516
0.26540157,-0.42533688,-2.6319097
0.21317644,-0.35199424,-2.1618048
0.14789503,-0.29332013,-1.5848579
0.082613624,-0.17597191,-0.92243733
0.069557342,-0.13196633,-0.30275358
0.10872619,-0.17597191,0.31693018
0.12178247,-0.073292216,0.69087727
0.069557342,-0.058623688,0.90456132
0.0042759323,0.044056006,0.96866654
-0.087118041,0.088061589,1.0541402
-0.11323061,0.1467357,1.043456
-0.074061759,0.10273012,1.0648244
-0.047949195,0.19074128,1.096877
-0.061005477,0.20540981,1.1396138
-0.074061759,0.19074128,1.1930348
-0.061005477,0.24941539,1.1930348
-0.074061759,0.19074128,1.1930348
-0.047949195,0.26408392,1.2250874
-0.021836632,0.16140423,1.2250874
-0.034892913,0.22007834,1.25714
-0.074061759,0.23474687,1.310561
-0.087118041,0.17607276,1.3212452
-0.061005477,0.16140423,1.310561
-0.087118041,0.17607276,1.2998768
-0.047949195,0.19074128,1.2998768
-0.074061759,0.20540981,1.2891926
-0.021836632,0.19074128,1.4067188
0.043444778,0.20540981,1.4601399
0.095669906,0.1467357,1.5242451
-0.0087803496,0.1467357,1.5456135
-0.16545573,0.13206717,1.6204029
-0.074061759,0.16140423,1.6845081
-0.0087803496,0.088061589,1.7806659
0.017332214,0.11739864,1.8447712
0.1740076,0.11739864,1.887508
0.25234529,0.058724534,1.9622974
0.26540157,0.17607276,2.0050342
0.48735836,0.13206717,2.0798236
0.95738451,0.073393062,2.1759814
1.5971423,0.073393062,2.3041919
2.276069,0.088061589,2.3469287
2.8244328,0.073393062,2.4110339
3.3205715,0.11739864,2.4430865
3.6469786,0.1467357,2.5285601
3.8428228,0.073393062,2.5712969
3.8428228,0.044056006,2.6033495
3.6339223,0.058724534,2.6247179
3.294459,0.073393062,2.6567706
3.0594459,0.11739864,2.7422442
2.9419394,0.073393062,2.7529284
2.9158268,0.073393062,2.73156
2.9419394,0.044056006,2.7742968
3.0855585,0.029387478,2.7422442
3.0594459,0.088061589,2.7956652
2.8113765,0.058724534,2.784981
2.6285886,5.0423064e-05,2.7956652
2.6155323,0.029387478,2.8277178
2.9158268,0.029387478,2.7208758
3.2161213,0.058724534,2.6567706
3.0725022,0.044056006,2.7101916
2.4980258,0.073393062,2.6567706
1.7538177,0.044056006,2.6995074
0.97044079,0.029387478,2.5926653
0.36985183,0.044056006,2.5178759
0.14789503,0.044056006,2.4430865
0.13483875,0.088061589,2.4110339
0.082613624,0.088061589,2.3255603
-0.074061759,0.029387478,2.2721393
-0.17851201,0.073393062,2.1866656
-0.24379342,0.073393062,2.1332446
-0.21768086,0.1467357,1.9836658
-0.21768086,0.088061589,1.9302448
-0.23073714,0.13206717,1.8981922
-0.32213112,0.17607276,1.8020343
-0.30907483,0.23474687,1.6951923
-0.30907483,0.26408392,1.5776661
-0.32213112,0.27875245,1.5028767
-0.30907483,0.27875245,1.4494557
-0.36129996,0.29342098,1.417403
-0.37435624,0.32275803,1.310561
-0.26990599,0.44010625,1.203719
-0.26990599,0.44010625,1.1396138
-0.23073714,0.46944331,1.0648244
-0.1915683,0.52811742,0.96866654
-0.24379342,0.45477478,0.89387712
-0.30907483,0.33742656,0.8190877
-0.28296227,0.33742656,0.76566669
-0.38741253,0.29342098,0.69087727
-0.42658137,0.26408392,0.61608785
-0.45269394,0.23474687,0.60540365
-0.42658137,0.23474687,0.49856162
-0.34824368,0.22007834,0.49856162
-0.32213112,0.1467357,0.44514061
-0.26990599,0.19074128,0.4024038
-0.23073714,0.088061589,0.4024038
-0.17851201,0.029387478,0.30624597
-0.21768086,-0.029286632,0.23145656
-0.40046881,0.014718951,0.18871975
-0.53103163,-0.014618105,0.22077235
-0.54408791,-0.087960743,0.18871975
-0.59631304,-0.14663485,0.17803554
-0.55714419,-0.21997749,0.12461453
-0.59631304,-0.17597191,0.092561922
-0.55714419,-0.16130338,0.017772503
-0.57020047,-0.16130338,0.028456706
-0.55714419,-0.20530896,0.071193516
-0.51797534,-0.23464602,0.049825111
-0.54408791,-0.16130338,0.017772503
-0.57020047,-0.17597191,-0.014280105
-0.6224256,-0.19064044,-0.046332712
-0.67465073,-0.17597191,-0.024964307
-0.68770701,-0.13196633,-0.057016915
-0.66159445,-0.13196633,-0.07838532
-0.72687586,-0.17597191,-0.089069523
-0.72687586,-0.087960743,-0.14249054
-0.81826983,-0.073292216,-0.15317474
-0.84438239,-0.087960743,-0.12112213
-0.79215727,-0.058623688,-0.07838532
-0.73993214,-0.087960743,-0.11043793
-0.81826983,-0.10262927,-0.12112213
-0.88355124,-0.058623688,-0.15317474
-0.9096638,-0.073292216,-0.17454314
-0.97494521,-0.058623688,-0.12112213
-0.98800149,0.073393062,-0.099753726
-0.98800149,0.1467357,-0.099753726
-0.97494521,0.26408392,-0.13180633
-0.92272008,0.48411184,-0.16385894
-0.88355124,0.86549356,-0.099753726
-0.89660752,1.349555,-0.099753726
-0.9096638,2.0683128,-0.11043793
-0.88355124,2.6697225,-0.11043793
-0.87049496,3.1831209,-0.16385894
-0.79215727,3.461823,-0.16385894
-0.79215727,3.7258565,-0.13180633
-0.79215727,3.740525,-0.12112213
-0.72687586,3.6231768,-0.07838532
-0.55714419,3.3884803,-0.15317474
-0.43963765,3.2271265,-0.18522735
-0.46575022,3.1537839,-0.17454314
-0.57020047,3.1977895,-0.16385894
-0.59631304,3.2711321,-0.15317474
-0.41352509,3.3444747,-0.13180633
-0.32213112,3.3738118,-0.14249054
-0.23073714,3.1977895,-0.13180633
-0.21768086,3.0364357,-0.14249054
-0.23073714,2.9484245,-0.14249054
-0.17851201,3.2271265,-0.14249054
-0.15239945,3.5498341,-0.17454314
-0.17851201,3.6671824,-0.18522735
-0.15239945,3.2564636,-0.18522735
-0.15239945,2.3763519,-0.12112213
-0.074061759,1.4375661,-0.15317474
0.043444778,0.60146006,-0.17454314
0.1740076,0.1467357,-0.16385894
0.14789503,0.014718951,-0.15317474
0.069557342,-0.029286632,-0.17454314
0.0042759323,-0.14663485,-0.16385894
-0.087118041,-0.2786516,-0.14249054
-0.087118041,-0.35199424,-0.11043793
-0.047949195,-0.42533688,-0.19591155
-0.021836632,-0.41066835,-0.16385894
0.043444778,-0.3813313,-0.19591155
0.05650106,-0.39599983,-0.19591155
0.082613624,-0.44000541,-0.16385894
0.0042759323,-0.39599983,-0.16385894
-0.034892913,-0.3813313,-0.18522735
-0.061005477,-0.46934246,-0.20659575
-0.047949195,-0.45467394,-0.16385894
-0.10017432,-0.48401099,-0.16385894
-0.074061759,-0.48401099,-0.18522735
0.095669906,-0.5426851,-0.20659575
0.05650106,-0.44000541,-0.19591155
-0.021836632,-0.44000541,-0.21727995
-0.10017432,-0.46934246,-0.18522735
-0.12628689,-0.46934246,-0.15317474
-0.15239945,-0.48401099,-0.16385894
-0.047949195,-0.44000541,-0.16385894
-0.087118041,-0.44000541,-0.19591155
-0.034892913,-0.52801657,-0.18522735
-0.074061759,-0.51334805,-0.16385894
-0.12628689,-0.58669069,-0.19591155
-0.15239945,-0.52801657,-0.19591155
-0.087118041,-0.57202216,-0.20659575
-0.074061759,-0.55735363,-0.17454314
0.0042759323,-0.55735363,-0.15317474
0.030388496,-0.6453648,-0.18522735
-0.034892913,-0.58669069,-0.12112213
0.043444778,-0.55735363,-0.16385894
0.082613624,-0.63069627,-0.20659575
0.043444778,-0.60135921,-0.21727995
-0.021836632,-0.61602774,-0.17454314
0.017332214,-0.70403891,-0.19591155
0.05650106,-0.63069627,-0.15317474
0.05650106,-0.66003332,-0.18522735
0.05650106,-0.66003332,-0.15317474
-0.0087803496,-0.70403891,-0.14249054
-0.061005477,-0.76271302,-0.17454314
-0.074061759,-0.77738155,-0.16385894
-0.034892913,-0.79205007,-0.16385894
-0.074061759,-0.77738155,-0.16385894
-0.034892913,-0.77738155,-0.19591155
0.030388496,-0.82138713,-0.20659575
0.05650106,-0.79205007,-0.15317474
0.043444778,-0.85072418,-0.16385894
0.030388496,-0.89472977,-0.13180633
0.030388496,-0.83605566,-0.13180633
0.043444778,-0.89472977,-0.13180633
0.030388496,-0.92406682,-0.14249054
0.069557342,-0.99740946,-0.16385894
0.082613624,-0.93873535,-0.19591155
0.22623273,-0.93873535,-0.17454314
0.29151413,-0.92406682,-0.18522735
0.33068298,-0.98274093,-0.16385894
0.36985183,-0.95340388,-0.13180633
0.33068298,-1.012078,-0.12112213
0.25234529,-0.96807241,-0.13180633
0.3176267,-1.0267465,-0.15317474
0.38290811,-0.98274093,-0.16385894
0.36985183,-1.012078,-0.12112213
0.48735836,-1.0267465,-0.07838532
0.55263977,-0.96807241,-0.067701118
0.65709003,-0.95340388,-0.03564851
0.68320259,-0.89472977,-0.03564851
0.63097746,-0.88006124,-0.03564851
0.59180862,-0.85072418,0.028456706
0.50041465,-0.82138713,0.081877719
0.4612458,-0.73337596,0.13529873
0.43513324,-0.67470185,0.10324612
0.35679554,-0.66003332,0.16735134
0.22623273,-0.6453648,0.17803554
0.18706388,-0.55735363,0.26350916
0.20012016,-0.49867952,0.28487757
0.30457042,-0.36666277,0.28487757
0.35679554,-0.35199424,0.26350916
0.34373926,-0.33732571,0.29556177
0.26540157,-0.26398308,0.31693018
0.33068298,-0.23464602,0.25282496
0.29151413,-0.19064044,0.19940395
0.1740076,-0.17597191,0.17803554
-0.0087803496,-0.19064044,0.10324612
-0.047949195,-0.14663485,0.071193516
0.043444778,-0.13196633,0.028456706
0.13483875,-0.10262927,0.071193516
0.1740076,-0.10262927,0.049825111
0.20012016,-0.087960743,0.060509314
